Date,Time,Latitude,Longitude,Type,Depth,Magnitude
9/11/1977,23:19:24,35.048,23.029,Earthquake,33,6
10/1/1977,12:52:31,-10.078,117.497,Earthquake,33,5.6
10/9/1977,10:03:22,-9.925,117.29,Earthquake,33,5.6
10/23/1977,10:31:53,-21.486,170.3,Earthquake,89,5.6
11/17/1977,15:20:43,-55.96,-27.857,Earthquake,127,5.6
11/24/1977,2:02:31,-31.615,-67.573,Earthquake,23,6.3
12/5/1977,14:13:52,-23.915,-175.95,Earthquake,33,5.9
12/21/1977,1:00:33,25.51,143.112,Earthquake,33,6.8
1/14/1978,13:49:43,1.674,126.417,Earthquake,45,5.5
1/31/1978,2:17:13,-56.124,-27.401,Earthquake,132,5.5
2/16/1978,3:47:25,5.465,-77.714,Earthquake,24,5.5
3/3/1978,10:48:11,-15.288,-173.517,Earthquake,33,6.2
3/14/1978,20:32:15,24.072,122.638,Earthquake,43,5.5
3/23/1978,3:24:25,43.922,149.144,Earthquake,33,5.5
3/28/1978,20:17:06,48.764,154.918,Earthquake,53,5.8
4/15/1978,13:49:32,-16.47,-73.514,Earthquake,50,5.5
5/10/1978,15:36:26,37.319,141.784,Earthquake,40,5.5
5/23/1978,23:34:11,40.759,23.268,Earthquake,10,5.7
6/11/1978,14:55:25,49.262,-129.502,Earthquake,10,6.1
6/24/1978,3:27:18,-15.003,167.267,Earthquake,122,5.5
7/18/1978,22:48:00,-6.438,153.163,Earthquake,28,5.7
8/8/1978,7:46:23,-12.384,166.453,Earthquake,88,5.7
8/21/1978,0:28:23,-31.271,-67.773,Earthquake,10,5.6
9/8/1978,22:56:57,-30.367,-178.151,Earthquake,33,5.9
9/28/1978,9:38:33,51.258,159.793,Earthquake,33,5.5
10/29/1978,4:06:04,-5.441,152.005,Earthquake,60,5.9
11/19/1978,16:28:39,-7.183,154.813,Earthquake,33,5.6
12/9/1978,4:17:06,45.344,150.114,Earthquake,54,5.6
12/25/1978,23:57:55,10.366,-103.865,Earthquake,10,6.5
1/24/1979,1:30:59,-6.239,155.225,Earthquake,160,5.5
2/13/1979,10:36:17,33.318,57.431,Earthquake,33,5.5
3/9/1979,1:26:34,-9.558,147.959,Earthquake,33,6.1
3/31/1979,13:20:54,29.181,142.338,Earthquake,55,5.7
4/28/1979,0:54:10,-18.324,-174.631,Earthquake,55,5.6
5/16/1979,2:27:01,-35.666,-16.242,Earthquake,10,6.2
5/27/1979,14:22:46,-9.691,154.221,Earthquake,26,5.8
6/23/1979,2:56:58,49.918,78.915,Nuclear Explosion,0,6.3
7/12/1979,23:22:17,-36.314,-98.03,Earthquake,10,5.5
8/8/1979,14:04:32,-56.359,-26.016,Earthquake,33,5.9
9/1/1979,5:27:18,53.978,-165.204,Earthquake,69,5.8
9/19/1979,21:35:37,42.812,13.061,Earthquake,16,5.9
10/10/1979,13:39:14,-7.213,106.035,Earthquake,33,5.9
10/23/1979,8:19:01,-10.596,161.312,Earthquake,33,5.9
11/4/1979,14:44:12,-15.596,-173.084,Earthquake,27,5.5
11/21/1979,10:24:32,-3.414,139.724,Earthquake,70,5.5
12/13/1979,5:37:48,2.614,-79.215,Earthquake,33,5.8
1/2/1980,20:58:44,5.984,126.188,Earthquake,63,6
1/20/1980,7:28:44,2.714,128.526,Earthquake,211,5.8
2/15/1980,14:25:49,44.533,149.739,Earthquake,35,6
2/27/1980,23:02:42,43.299,146.869,Earthquake,36,5.6
3/27/1980,15:29:35,-17.983,-175.95,Earthquake,33,5.8
4/14/1980,12:39:04,-10.878,164.076,Earthquake,33,6.1
5/12/1980,14:23:46,-23.625,-177.194,Earthquake,170,5.5
5/27/1980,14:50:57,37.5033333,-118.8055,Earthquake,13.795,6.2
6/16/1980,5:45:07,-22.029,-68.459,Earthquake,87,5.5
6/25/1980,18:48:11,-6.592,146.84,Earthquake,21,5.7
7/17/1980,20:49:29,-11.828,166.44,Earthquake,33,5.7
8/9/1980,5:45:09,15.888,-88.516,Earthquake,22,6.4
9/19/1980,8:45:47,13.892,120.725,Earthquake,148,5.7
10/9/1980,16:19:38,-15.379,-173.42,Earthquake,33,6
10/25/1980,16:20:05,-22.313,170.38,Earthquake,33,6.5
11/12/1980,5:50:20,19.441,-69.607,Earthquake,33,5.9
12/11/1980,18:15:03,-21.272,-68.153,Earthquake,80,6.1
12/24/1980,16:44:43,-5.64,145.496,Earthquake,33,5.6
1/18/1981,3:06:45,-61.091,-55.426,Earthquake,22,6
1/28/1981,19:25:33,-54.59,158.016,Earthquake,10,5.6
2/17/1981,16:53:14,-23.09,39.479,Earthquake,33,5.7
3/4/1981,15:16:00,-25.742,-176.678,Earthquake,40.8,5.5
